"","level","Overall","Not optimal","Optimal","p","test"
"n","","3,119","562","2,557","",""
"race_eth_recode (%)","Non-Hispanic White"," 2793 (89.5) ","502 ( 18.0) "," 2291 (82.0) "," 0.055",""
"","Non-Hispanic Black","  114 ( 3.7) "," 23 ( 20.2) ","   91 (79.8) ","",""
"","Hispanic","   65 ( 2.1) "," 18 ( 27.7) ","   47 (72.3) ","",""
"","Other","  121 ( 3.9) "," 13 ( 10.7) ","  108 (89.3) ","",""
"",NA,"   26 ( 0.8) ","  6 ( 23.1) ","   20 (76.9) ","",""
"nativity (%)","US-born"," 1324 (42.4) ","290 ( 21.9) "," 1034 (78.1) ","<0.001",""
"","Foreign-born"," 1541 (49.4) ","228 ( 14.8) "," 1313 (85.2) ","",""
"","Unknown","  254 ( 8.1) "," 44 ( 17.3) ","  210 (82.7) ","",""
"age_dx_cat (%)","Younger than 50","  329 (10.5) "," 48 ( 14.6) ","  281 (85.4) ","<0.001",""
"","50-64"," 1485 (47.6) ","232 ( 15.6) "," 1253 (84.4) ","",""
"","65 or older"," 1305 (41.8) ","282 ( 21.6) "," 1023 (78.4) ","",""
"insurance_status (%)","Private"," 1464 (46.9) ","229 ( 15.6) "," 1235 (84.4) ","<0.001",""
"","Medicare"," 1198 (38.4) ","257 ( 21.5) ","  941 (78.5) ","",""
"","Public/Government","  215 ( 6.9) "," 44 ( 20.5) ","  171 (79.5) ","",""
"","Other","  213 ( 6.8) "," 23 ( 10.8) ","  190 (89.2) ","",""
"","Not insured","   29 ( 0.9) ","  9 ( 31.0) ","   20 (69.0) ","",""
"trt_summary_overall (%)","No surgery","  111 ( 3.6) ","111 (100.0) ","    0 ( 0.0) ","<0.001",""
"","Surgery alone"," 2165 (69.4) ","168 (  7.8) "," 1997 (92.2) ","",""
"","Surgery and radiation","  547 (17.5) ","141 ( 25.8) ","  406 (74.2) ","",""
"","Surgery and chemo","  168 ( 5.4) "," 92 ( 54.8) ","   76 (45.2) ","",""
"","All three","  128 ( 4.1) "," 50 ( 39.1) ","   78 (60.9) ","",""
"type_surg_received (%)","None","  108 ( 3.5) ","108 (100.0) ","    0 ( 0.0) ","<0.001",""
"","Resection"," 3007 (96.4) ","450 ( 15.0) "," 2557 (85.0) ","",""
"","Other/Unknown","    4 ( 0.1) ","  4 (100.0) ","    0 ( 0.0) ","",""
"radiation_yn (%)","No"," 2400 (76.9) ","327 ( 13.6) "," 2073 (86.4) ","<0.001",""
"","Yes","  719 (23.1) ","235 ( 32.7) ","  484 (67.3) ","",""
